,Food,Measure,Grams,Calories,Protein,Sat.Fat,Fiber,Carbs,Category
232,Farina,1 cup,238,105.0,238,0.0,8.0,22.0,"Breads, cereals, fastfood,grains"
233,Flour,1 cup,110,460.0,110,0.0,29.0,33.0,"Breads, cereals, fastfood,grains"
234,Wheat (all purpose),1 cup,110,400.0,110,0.0,3.0,84.0,"Breads, cereals, fastfood,grains"
235,Wheat (whole),1 cup,120,390.0,120,0.0,28.0,79.0,"Breads, cereals, fastfood,grains"
236,Macaroni,1 cup,140,155.0,140,0.0,1.0,32.0,"Breads, cereals, fastfood,grains"
239,Noodles,1 cup,160,200.0,160,2.0,1.0,37.0,"Breads, cereals, fastfood,grains"
240,Oatmeal,1 cup,236,150.0,236,2.0,46.0,26.0,"Breads, cereals, fastfood,grains"
241,"Pancakes 4"" diam.",4,108,250.0,108,0.0,1.0,28.0,"Breads, cereals, fastfood,grains"
242,"Wheat, pancakes 4"" diam.",4,108,250.0,108,0.0,1.0,28.0,"Breads, cereals, fastfood,grains"
244,Popcorn salted,2 cups,28,152.0,28,2.0,5.0,20.0,"Breads, cereals, fastfood,grains"
246,Puffed wheat presweetened,1 cup,28,105.0,28,0.0,6.0,26.0,"Breads, cereals, fastfood,grains"
247,Rice,1 cup,208,748.0,208,0.0,12.0,154.0,"Breads, cereals, fastfood,grains"
248,Converted,1 cup,187,677.0,187,0.0,4.0,142.0,"Breads, cereals, fastfood,grains"
249,White,1 cup,191,692.0,191,0.0,3.0,150.0,"Breads, cereals, fastfood,grains"
250,Rice flakes,1 cup,30,115.0,30,0.0,1.0,26.0,"Breads, cereals, fastfood,grains"
251,Rice polish,1/2 cup,50,132.0,50,0.0,12.0,28.0,"Breads, cereals, fastfood,grains"
252,Rolls,1 large,50,411.0,50,11.0,1.0,23.0,"Breads, cereals, fastfood,grains"
254,whole-wheat,1,40,102.0,40,0.0,1.0,20.0,"Breads, cereals, fastfood,grains"
255,Spaghetti with meat sauce,1 cup,250,285.0,250,6.0,50.0,35.0,"Breads, cereals, fastfood,grains"
256,with tomatoes and cheese,1 cup,250,210.0,250,3.0,50.0,36.0,"Breads, cereals, fastfood,grains"
257,Spanish rice,1 cup,250,217.0,250,0.0,120.0,40.0,"Breads, cereals, fastfood,grains"
258,Shredded wheat biscuit,1,28,100.0,28,0.0,70.0,23.0,"Breads, cereals, fastfood,grains"
259,Waffles,1,75,240.0,75,1.0,10.0,30.0,"Breads, cereals, fastfood,grains"
260,Wheat germ,1 cup,68,245.0,68,3.0,250.0,34.0,"Breads, cereals, fastfood,grains"
261,Wheat-germ cereal toasted,1 cup,65,260.0,65,3.0,250.0,36.0,"Breads, cereals, fastfood,grains"
262,Wheat meal cereal unrefined,3/4 cup,30,103.0,30,0.0,70.0,25.0,"Breads, cereals, fastfood,grains"
263,"Wheat, cooked",3/4 cup,200,275.0,200,0.0,440.0,35.0,"Breads, cereals, fastfood,grains"
264,Bean soups,1 cup,250,190.0,250,4.0,60.0,30.0,Soups
265,Beef soup,1 cup,250,100.0,250,4.0,50.0,11.0,Soups
266,Bouillon,1 cup,240,24.0,240,0.0,0.0,0.0,Soups
267,chicken soup,1 cup,250,75.0,250,2.0,0.0,10.0,Soups
268,Clam chowder,1 cup,255,85.0,255,8.0,50.0,12.0,Soups
269,Cream soups,1 cup,255,200.0,255,11.0,120.0,18.0,Soups
270,Noodle,1 cup,250,115.0,250,3.0,20.0,13.0,Soups
271,Split-pea soup,1 cup,250,147.0,250,3.0,50.0,25.0,Soups
272,Tomato soup,1 cup,245,175.0,245,6.0,50.0,22.0,Soups
273,Vegetable,1 cup,250,80.0,250,2.0,0.0,14.0,Soups
274,Apple betty,1 serving,100,150.0,100,0.0,5.0,29.0,"Desserts, sweets"
275,Bread pudding,3/4 cup,200,374.0,200,11.0,20.0,56.0,"Desserts, sweets"
276,Cakes,1 slice,40,110.0,40,0.0,0.0,23.0,"Desserts, sweets"
277,Chocolate fudge,1 slice,120,420.0,120,12.0,3.0,70.0,"Desserts, sweets"
279,Fruit cake,1 slice,30,105.0,30,3.0,2.0,17.0,"Desserts, sweets"
282,Sponge cake,1 slice,40,115.0,40,2.0,0.0,22.0,"Desserts, sweets"
283,Candy,5,25,104.0,25,3.0,0.0,19.0,"Desserts, sweets"
284,Chocolate creams,2,30,130.0,30,4.0,0.0,24.0,"Desserts, sweets"
285,Fudge,2 pieces,90,370.0,90,11.0,1.0,80.0,"Desserts, sweets"
286,Hard candies,1 oz.,28,90.0,28,0.0,0.0,28.0,"Desserts, sweets"
287,Marshmallows,5,30,98.0,30,0.0,0.0,23.0,"Desserts, sweets"
288,Milk chocolate,2-oz. bar,56,290.0,56,6.0,2.0,44.0,"Desserts, sweets"
