,Food,Serving,Calories
467,Kiwi,1 kiwi (183 g),112
468,Kumquat,1 kumquat (19 g),13
469,Lychee,1 lychee (10 g),7
470,Mandarin Oranges,1 madarin orange (90 g),48
471,Mango,1 mango (336 g),202
472,Mangosteen,1 serving (80 g),58
473,Maracuya,1 maracuya (18 g),17
474,Maraschino Cherries,1 cherry (5 g),8
475,Muskmelon,1 wedge (69 g),23
476,Noni,1 oz. (28.4 g),15
477,Passion Fruit,1 passion fruit (18 g),17
478,Pineapple,1 pineapple (905 g),453
479,Pink Grapefruit,1/2 grapefruit (123 g),52
480,Plantain,1 plantain (179 g),218
481,Pomegranate,1 pomegranate (282 g),234
482,Pomelo,1 pomelo (609 g),231
483,Prickly Pear,"1 pad, peeled (19 g)",8
484,Rambutan,1 rambutan (9 g),7
485,Sapodilla,1 sapodilla (170 g),141
486,Soursop Fruit,1 soursop fruit (625 g),413
487,Star Fruit,1 starfruit (91 g),28
488,Tamarind,1 tamarind (2 g),5
489,Watermelon,1 wedge (286 g),86
490,Arby’s Grand Turkey Club,1 sandwich (233 g),489
491,Arby’s Reuben,1 sandwich (308 g),641
492,Arby’s Roast Beef Classic,1 burger (154 g),360
493,Arby’s Roast Beef Max,1 burger (154 g),360
494,BBQ Rib,1 rib (67 g),142
495,Bean Burrito,1 burrito (190 g),380
496,Big N’ Tasty,1 sandwich (232 g),517
497,Bratwurst,1 piece (85 g),283
498,Burger King Angry Whopper,1 burger (290 g),740
499,Burger King Double Whopper,1 burger (374 g),894
500,Burger King Double Whopper with Cheese,1 sandwich (399 g),994
501,Burger King Original Chicken Sandwich,1 sandwich (219 g),659
502,Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591
503,Burger King Triple Whopper,1 burger (547 g),1471
504,Burger King Whopper,1 burger (291 g),672
505,Burger King Whopper Jr.,1 burger (148 g),346
506,Burger King Whopper with Cheese,1 burger (315 g),759
507,Cheeseburger,1 burger (156 g),410
508,Chicken Breast,1 piece (71 g),116
509,Chicken Fajita,1 sandwich (222 g),326
510,Chicken McNuggets,1 nugget (16 g),48
511,Chicken Nuggets,1 piece (20 g),59
512,Chicken Pizziola,1 sandwich (320 g),451
513,Chicken Sandwich,1 sandwich (170 g),410
514,Chicken Teriyaki Sandwich,1 sandwich (266 g),367
515,Chicken Wings,1 piece (29 g),94
516,Chop Suey,1 serving (340 g),585
517,Curly Fries,1 serving (128 g),398
518,Double Cheeseburger,1 burger (155 g),414
519,Egg Roll,1 roll (80 g),200
520,Falafel,1 patty (17 g),57
521,Filet-o-Fish,1 sandwich (142 g),400
522,Fish and Chips,1 serving (300 g),585
523,Fish Sandwich,1 sandwich (158 g),431
524,French Fries,1 serving (71 g),222
525,Grilled Chicken Salad,1 salad (305 g),268
526,Ham Sandwich,1 sandwich (146 g),352
527,Hamburger,1 sandwich (110 g),279
528,Hot Dog,1 hot dog (116 g),312
529,Italian BMT,1 sandwich (224 g),410
530,Lasagna,1 piece (130 g),172
531,McDonald’s Big Mac,1 burger (219 g),561
532,McDonald’s Cheeseburger,1 sandwich (114 g),300
533,McDonald’s Chicken Nuggets,1 nugget (16 g),48
534,McDonald’s Double Cheeseburger,1 burger (155 g),437
535,McDonald’s Filet-o-Fish,1 sandwich (142 g),391
536,McDonald’s McChicken,1 burger (143 g),359
537,McDonald’s McDouble,1 burger (160 g),403
538,McDonald’s McMuffi Egg,1 burger (129 g),290
539,McDonald’s McRib,1 sandwich (170 g),451
540,McDonald’s Mighty Wings,1 wing (31 g),95
541,McRib,1 sandwich (170 g),451
542,Meatball Sandwich,1 sandwich (299 g),481
543,Nachos with Cheese,10 nachos (188 g),575
544,Onion Rings,1 ring (6.5 g),25
545,Poutine,1 serving (225 g),511
546,Smoked Salmon,1 oz. (28.35 g),44
547,Spicy Italian,1 sandwich (219 g),480
548,Subway Club Sandwich,1 sandwich (238 g),312
549,Tortilla Wrap,1 wrap (63 g),171
550,Tuna,1 oz. (28.35 g),24
551,Turkey,1 oz. (28.35 g),29
552,Veggie Burger,1 burger (215 g),389
553,Veggie Delight,1 sandwich (166 g),229
554,Veggie Patty,1 sandwich (247 g),963
555,Wendy’s Baconator,1 burger (276 g),839
556,Wendy’s Jr. Bacon Cheeseburger,1 burger (161 g),420
557,Wendy’s Jr. Cheeseburger,1 burger (129 g),290
558,Wendy’s Son of Baconator,1 burger (218 g),700
559,Whopper,1 burger (291 g),672
560,Zinger,1 sandwich (202 g),517
561,Zinger Burger,1 sandwich (202 g),517
